task_number,task_id,alias,human_minutes,ai_time,score_binarized
21,blackbox/charm,Claude 3 Opus,64,145114,0
21,blackbox/charm,Claude 3 Opus,64,194233,0
22,continue_pattern/binary,Claude 3 Opus,600,158232,0
22,continue_pattern/binary,Claude 3 Opus,600,12264,0
22,continue_pattern/binary,Claude 3 Opus,600,698654,0
22,continue_pattern/binary,Claude 3 Opus,600,104438,0
22,continue_pattern/binary,Claude 3 Opus,600,148350,0
22,continue_pattern/binary,Claude 3 Opus,600,375931,0
22,continue_pattern/binary,Claude 3 Opus,600,284324,0
22,continue_pattern/binary,Claude 3 Opus,600,140780,0
23,continue_pattern/easy,Claude 3 Opus,1080,96721,0
23,continue_pattern/easy,Claude 3 Opus,1080,70176,0
23,continue_pattern/easy,Claude 3 Opus,1080,10555,0
23,continue_pattern/easy,Claude 3 Opus,1080,161183,0
23,continue_pattern/easy,Claude 3 Opus,1080,243336,0
23,continue_pattern/easy,Claude 3 Opus,1080,250557,0
23,continue_pattern/easy,Claude 3 Opus,1080,60642,0
23,continue_pattern/easy,Claude 3 Opus,1080,76860,0
24,credit_card_validity/add_check_digits,Claude 3 Opus,27,22171,0
24,credit_card_validity/add_check_digits,Claude 3 Opus,27,17084,0
24,credit_card_validity/add_check_digits,Claude 3 Opus,27,20277,0
24,credit_card_validity/add_check_digits,Claude 3 Opus,27,19589,0
24,credit_card_validity/add_check_digits,Claude 3 Opus,27,31028,0
24,credit_card_validity/add_check_digits,Claude 3 Opus,27,38908,0
24,credit_card_validity/add_check_digits,Claude 3 Opus,27,18837,0
24,credit_card_validity/add_check_digits,Claude 3 Opus,27,18073,0
25,cuda_backtesting/default,Claude 3 Opus,480,123716,0
25,cuda_backtesting/default,Claude 3 Opus,480,122999,0
25,cuda_backtesting/default,Claude 3 Opus,480,120617,0
25,cuda_backtesting/default,Claude 3 Opus,480,119173,0
25,cuda_backtesting/default,Claude 3 Opus,480,118578,0
25,cuda_backtesting/default,Claude 3 Opus,480,127028,0
25,cuda_backtesting/default,Claude 3 Opus,480,133577,0
25,cuda_backtesting/default,Claude 3 Opus,480,114643,0
26,data_deduplication/c4_pairs_1m,Claude 3 Opus,360,277509,0
26,data_deduplication/c4_pairs_1m,Claude 3 Opus,360,75848,0
26,data_deduplication/c4_pairs_1m,Claude 3 Opus,360,1091689,0
26,data_deduplication/c4_pairs_1m,Claude 3 Opus,360,133278,0
26,data_deduplication/c4_pairs_1m,Claude 3 Opus,360,120842,0
26,data_deduplication/c4_pairs_1m,Claude 3 Opus,360,4340857,0
26,data_deduplication/c4_pairs_1m,Claude 3 Opus,360,1868463,0
26,data_deduplication/c4_pairs_1m,Claude 3 Opus,360,1707796,0
27,debug_small_libs/markdown,Claude 3 Opus,30,462328,0
27,debug_small_libs/markdown,Claude 3 Opus,30,164044,1
27,debug_small_libs/markdown,Claude 3 Opus,30,456614,1
27,debug_small_libs/markdown,Claude 3 Opus,30,235779,0
27,debug_small_libs/markdown,Claude 3 Opus,30,57092,1
27,debug_small_libs/markdown,Claude 3 Opus,30,1365155,1
27,debug_small_libs/markdown,Claude 3 Opus,30,1150800,0
27,debug_small_libs/markdown,Claude 3 Opus,30,230869,1
28,debug_small_libs/orm_allbugs,Claude 3 Opus,95,1037714,0
28,debug_small_libs/orm_allbugs,Claude 3 Opus,95,1007558,0
28,debug_small_libs/orm_allbugs,Claude 3 Opus,95,1023854,0
28,debug_small_libs/orm_allbugs,Claude 3 Opus,95,700905,0
28,debug_small_libs/orm_allbugs,Claude 3 Opus,95,707879,0
28,debug_small_libs/orm_allbugs,Claude 3 Opus,95,967886,0
28,debug_small_libs/orm_allbugs,Claude 3 Opus,95,1962050,1
28,debug_small_libs/orm_allbugs,Claude 3 Opus,95,1364467,0
29,debug_small_libs/orm_somebugs,Claude 3 Opus,84,1275401,0
29,debug_small_libs/orm_somebugs,Claude 3 Opus,84,58484,1
29,debug_small_libs/orm_somebugs,Claude 3 Opus,84,978067,0
29,debug_small_libs/orm_somebugs,Claude 3 Opus,84,740333,1
29,debug_small_libs/orm_somebugs,Claude 3 Opus,84,654620,0
29,debug_small_libs/orm_somebugs,Claude 3 Opus,84,91482,1
29,debug_small_libs/orm_somebugs,Claude 3 Opus,84,1030305,1
29,debug_small_libs/orm_somebugs,Claude 3 Opus,84,1067062,0
30,env_scientist/level1,Claude 3 Opus,44,175010,0
30,env_scientist/level1,Claude 3 Opus,44,72437,0
30,env_scientist/level1,Claude 3 Opus,44,110239,1
30,env_scientist/level1,Claude 3 Opus,44,102548,1
30,env_scientist/level1,Claude 3 Opus,44,132427,0
30,env_scientist/level1,Claude 3 Opus,44,95946,0
30,env_scientist/level1,Claude 3 Opus,44,72352,1
30,env_scientist/level1,Claude 3 Opus,44,168738,0
31,env_scientist/level2,Claude 3 Opus,46,445838,0
31,env_scientist/level2,Claude 3 Opus,46,444267,0
31,env_scientist/level2,Claude 3 Opus,46,140072,1
31,env_scientist/level2,Claude 3 Opus,46,263131,0
31,env_scientist/level2,Claude 3 Opus,46,352894,0
31,env_scientist/level2,Claude 3 Opus,46,92205,0
31,env_scientist/level2,Claude 3 Opus,46,73589,1
31,env_scientist/level2,Claude 3 Opus,46,134200,0
32,env_scientist/level3,Claude 3 Opus,90,188550,0
32,env_scientist/level3,Claude 3 Opus,90,334849,0
32,env_scientist/level3,Claude 3 Opus,90,482884,0
32,env_scientist/level3,Claude 3 Opus,90,1593455,0
32,env_scientist/level3,Claude 3 Opus,90,155754,0
32,env_scientist/level3,Claude 3 Opus,90,274743,0
32,env_scientist/level3,Claude 3 Opus,90,231195,0
32,env_scientist/level3,Claude 3 Opus,90,145962,0
33,env_scientist/level4,Claude 3 Opus,248,635486,0
33,env_scientist/level4,Claude 3 Opus,248,542024,0
33,env_scientist/level4,Claude 3 Opus,248,459544,0
33,env_scientist/level4,Claude 3 Opus,248,335913,0
33,env_scientist/level4,Claude 3 Opus,248,454979,0
33,env_scientist/level4,Claude 3 Opus,248,1074461,0
33,env_scientist/level4,Claude 3 Opus,248,398939,0
33,env_scientist/level4,Claude 3 Opus,248,2249388,0
34,env_scientist/level5,Claude 3 Opus,59,107732,0
34,env_scientist/level5,Claude 3 Opus,59,1842126,0
34,env_scientist/level5,Claude 3 Opus,59,1956197,0
34,env_scientist/level5,Claude 3 Opus,59,205643,0
34,env_scientist/level5,Claude 3 Opus,59,285221,0
34,env_scientist/level5,Claude 3 Opus,59,229590,0
34,env_scientist/level5,Claude 3 Opus,59,138726,0
34,env_scientist/level5,Claude 3 Opus,59,527568,0
35,env_scientist/level6,Claude 3 Opus,171,339604,0
35,env_scientist/level6,Claude 3 Opus,171,436176,0
35,env_scientist/level6,Claude 3 Opus,171,384681,0
35,env_scientist/level6,Claude 3 Opus,171,177285,0
35,env_scientist/level6,Claude 3 Opus,171,270024,0
35,env_scientist/level6,Claude 3 Opus,171,1093249,0
35,env_scientist/level6,Claude 3 Opus,171,291431,0
35,env_scientist/level6,Claude 3 Opus,171,372679,0
36,env_scientist/level7,Claude 3 Opus,665,233219,0
36,env_scientist/level7,Claude 3 Opus,665,852319,0
36,env_scientist/level7,Claude 3 Opus,665,1400894,0
36,env_scientist/level7,Claude 3 Opus,665,336163,0
36,env_scientist/level7,Claude 3 Opus,665,263810,0
36,env_scientist/level7,Claude 3 Opus,665,216190,0
36,env_scientist/level7,Claude 3 Opus,665,1683685,0
36,env_scientist/level7,Claude 3 Opus,665,691816,0
37,esolang/broccoli_collatz,Claude 3 Opus,35,204920,0
37,esolang/broccoli_collatz,Claude 3 Opus,35,94254,1
37,esolang/broccoli_collatz,Claude 3 Opus,35,558113,0
37,esolang/broccoli_collatz,Claude 3 Opus,35,176256,0
37,esolang/broccoli_collatz,Claude 3 Opus,35,262676,0
37,esolang/broccoli_collatz,Claude 3 Opus,35,64590,1
37,esolang/broccoli_collatz,Claude 3 Opus,35,160707,0
37,esolang/broccoli_collatz,Claude 3 Opus,35,98238,0
38,esolang/broccoli_fibonacci,Claude 3 Opus,24,67931,1
38,esolang/broccoli_fibonacci,Claude 3 Opus,24,197002,1
38,esolang/broccoli_fibonacci,Claude 3 Opus,24,91622,1
38,esolang/broccoli_fibonacci,Claude 3 Opus,24,41301,1
38,esolang/broccoli_fibonacci,Claude 3 Opus,24,54192,0
38,esolang/broccoli_fibonacci,Claude 3 Opus,24,143800,0
38,esolang/broccoli_fibonacci,Claude 3 Opus,24,192974,0
38,esolang/broccoli_fibonacci,Claude 3 Opus,24,96418,1
39,file_recovery/default,Claude 3 Opus,346,1479387,0
39,file_recovery/default,Claude 3 Opus,346,700045,0
39,file_recovery/default,Claude 3 Opus,346,1340005,0
39,file_recovery/default,Claude 3 Opus,346,2510099,0
39,file_recovery/default,Claude 3 Opus,346,1611815,0
39,file_recovery/default,Claude 3 Opus,346,1532251,0
39,file_recovery/default,Claude 3 Opus,346,1428953,0
39,file_recovery/default,Claude 3 Opus,346,1597132,0
40,gaia/0a3cd321,Claude 3 Opus,18,31415,0
40,gaia/0a3cd321,Claude 3 Opus,18,26311,0
40,gaia/0a3cd321,Claude 3 Opus,18,28537,0
40,gaia/0a3cd321,Claude 3 Opus,18,216392,0
40,gaia/0a3cd321,Claude 3 Opus,18,31162,0
40,gaia/0a3cd321,Claude 3 Opus,18,56429,0
40,gaia/0a3cd321,Claude 3 Opus,18,30398,0
40,gaia/0a3cd321,Claude 3 Opus,18,117721,0
41,gsm_8k/sd_f_hinted_turbo_format,Claude 3 Opus,360,2047200,0
41,gsm_8k/sd_f_hinted_turbo_format,Claude 3 Opus,360,1063979,0
41,gsm_8k/sd_f_hinted_turbo_format,Claude 3 Opus,360,1497437,0
41,gsm_8k/sd_f_hinted_turbo_format,Claude 3 Opus,360,1524683,0
41,gsm_8k/sd_f_hinted_turbo_format,Claude 3 Opus,360,1209225,0
41,gsm_8k/sd_f_hinted_turbo_format,Claude 3 Opus,360,1348592,0
41,gsm_8k/sd_f_hinted_turbo_format,Claude 3 Opus,360,1499995,0
41,gsm_8k/sd_f_hinted_turbo_format,Claude 3 Opus,360,1894413,0
42,hack_container/default,Claude 3 Opus,209,1274569,0
42,hack_container/default,Claude 3 Opus,209,323010,0
42,hack_container/default,Claude 3 Opus,209,238132,0
42,hack_container/default,Claude 3 Opus,209,366663,0
42,hack_container/default,Claude 3 Opus,209,159356,0
42,hack_container/default,Claude 3 Opus,209,242697,0
42,hack_container/default,Claude 3 Opus,209,348084,0
42,hack_container/default,Claude 3 Opus,209,64820,0
43,hypothesis_testing/mystery_function_1,Claude 3 Opus,9,72382,0
43,hypothesis_testing/mystery_function_1,Claude 3 Opus,9,54687,1
43,hypothesis_testing/mystery_function_1,Claude 3 Opus,9,70036,1
43,hypothesis_testing/mystery_function_1,Claude 3 Opus,9,44280,1
43,hypothesis_testing/mystery_function_1,Claude 3 Opus,9,55940,1
43,hypothesis_testing/mystery_function_1,Claude 3 Opus,9,66620,1
43,hypothesis_testing/mystery_function_1,Claude 3 Opus,9,67527,0
43,hypothesis_testing/mystery_function_1,Claude 3 Opus,9,52281,1
44,hypothesis_testing/mystery_function_2,Claude 3 Opus,14,84259,0
44,hypothesis_testing/mystery_function_2,Claude 3 Opus,14,74766,0
44,hypothesis_testing/mystery_function_2,Claude 3 Opus,14,57366,0
44,hypothesis_testing/mystery_function_2,Claude 3 Opus,14,39955,0
44,hypothesis_testing/mystery_function_2,Claude 3 Opus,14,56484,0
44,hypothesis_testing/mystery_function_2,Claude 3 Opus,14,41678,1
44,hypothesis_testing/mystery_function_2,Claude 3 Opus,14,35114,0
44,hypothesis_testing/mystery_function_2,Claude 3 Opus,14,63377,0
45,hypothesis_testing/mystery_function_4,Claude 3 Opus,10,104742,1
45,hypothesis_testing/mystery_function_4,Claude 3 Opus,10,99334,1
45,hypothesis_testing/mystery_function_4,Claude 3 Opus,10,57094,0
45,hypothesis_testing/mystery_function_4,Claude 3 Opus,10,107763,0
45,hypothesis_testing/mystery_function_4,Claude 3 Opus,10,68851,0
45,hypothesis_testing/mystery_function_4,Claude 3 Opus,10,65833,0
45,hypothesis_testing/mystery_function_4,Claude 3 Opus,10,63464,0
45,hypothesis_testing/mystery_function_4,Claude 3 Opus,10,51556,0
46,hypothesis_testing/mystery_function_5,Claude 3 Opus,28,80034,0
46,hypothesis_testing/mystery_function_5,Claude 3 Opus,28,120706,0
46,hypothesis_testing/mystery_function_5,Claude 3 Opus,28,35507,0
46,hypothesis_testing/mystery_function_5,Claude 3 Opus,28,26043,0
46,hypothesis_testing/mystery_function_5,Claude 3 Opus,28,46509,1
46,hypothesis_testing/mystery_function_5,Claude 3 Opus,28,49378,0
46,hypothesis_testing/mystery_function_5,Claude 3 Opus,28,54818,0
46,hypothesis_testing/mystery_function_5,Claude 3 Opus,28,61537,0
47,hypothesis_testing/mystery_function_6,Claude 3 Opus,49,86822,0
47,hypothesis_testing/mystery_function_6,Claude 3 Opus,49,50396,0
47,hypothesis_testing/mystery_function_6,Claude 3 Opus,49,82705,1
47,hypothesis_testing/mystery_function_6,Claude 3 Opus,49,59497,1
47,hypothesis_testing/mystery_function_6,Claude 3 Opus,49,40888,0
47,hypothesis_testing/mystery_function_6,Claude 3 Opus,49,30835,0
47,hypothesis_testing/mystery_function_6,Claude 3 Opus,49,113048,0
47,hypothesis_testing/mystery_function_6,Claude 3 Opus,49,29867,0
48,hypothesis_testing/mystery_function_8,Claude 3 Opus,15,24798,0
48,hypothesis_testing/mystery_function_8,Claude 3 Opus,15,43187,1
48,hypothesis_testing/mystery_function_8,Claude 3 Opus,15,42338,0
48,hypothesis_testing/mystery_function_8,Claude 3 Opus,15,79485,0
48,hypothesis_testing/mystery_function_8,Claude 3 Opus,15,51236,1
48,hypothesis_testing/mystery_function_8,Claude 3 Opus,15,48603,0
48,hypothesis_testing/mystery_function_8,Claude 3 Opus,15,110830,0
48,hypothesis_testing/mystery_function_8,Claude 3 Opus,15,59812,0
49,iclr_authors/notable-top-25,Claude 3 Opus,1112,3904837,0
49,iclr_authors/notable-top-25,Claude 3 Opus,1112,363433,0
49,iclr_authors/notable-top-25,Claude 3 Opus,1112,559678,0
49,iclr_authors/notable-top-25,Claude 3 Opus,1112,410053,0
49,iclr_authors/notable-top-25,Claude 3 Opus,1112,1078897,0
49,iclr_authors/notable-top-25,Claude 3 Opus,1112,613463,0
49,iclr_authors/notable-top-25,Claude 3 Opus,1112,5721842,0
49,iclr_authors/notable-top-25,Claude 3 Opus,1112,1708875,0
50,iclr_authors/notable-top-5,Claude 3 Opus,391,1793240,0
50,iclr_authors/notable-top-5,Claude 3 Opus,391,462630,0
50,iclr_authors/notable-top-5,Claude 3 Opus,391,178972,0
50,iclr_authors/notable-top-5,Claude 3 Opus,391,647726,0
50,iclr_authors/notable-top-5,Claude 3 Opus,391,111265,0
50,iclr_authors/notable-top-5,Claude 3 Opus,391,338184,0
50,iclr_authors/notable-top-5,Claude 3 Opus,391,204644,0
50,iclr_authors/notable-top-5,Claude 3 Opus,391,104607,0
51,iclr_authors/poster,Claude 3 Opus,522,5308456,0
51,iclr_authors/poster,Claude 3 Opus,522,282408,0
51,iclr_authors/poster,Claude 3 Opus,522,311948,0
51,iclr_authors/poster,Claude 3 Opus,522,1260069,0
51,iclr_authors/poster,Claude 3 Opus,522,858713,0
51,iclr_authors/poster,Claude 3 Opus,522,3117762,0
51,iclr_authors/poster,Claude 3 Opus,522,1179452,0
51,iclr_authors/poster,Claude 3 Opus,522,394223,0
52,image_labeling/bouba_kiki_gradients,Claude 3 Opus,480,112728,0
52,image_labeling/bouba_kiki_gradients,Claude 3 Opus,480,121061,0
52,image_labeling/bouba_kiki_gradients,Claude 3 Opus,480,102183,0
52,image_labeling/bouba_kiki_gradients,Claude 3 Opus,480,187035,0
52,image_labeling/bouba_kiki_gradients,Claude 3 Opus,480,308358,0
52,image_labeling/bouba_kiki_gradients,Claude 3 Opus,480,1638341,0
52,image_labeling/bouba_kiki_gradients,Claude 3 Opus,480,231302,0
52,image_labeling/bouba_kiki_gradients,Claude 3 Opus,480,454076,0
53,image_labeling/layered_squares,Claude 3 Opus,87,344753,0
53,image_labeling/layered_squares,Claude 3 Opus,87,1862678,0
53,image_labeling/layered_squares,Claude 3 Opus,87,290659,0
53,image_labeling/layered_squares,Claude 3 Opus,87,425177,0
53,image_labeling/layered_squares,Claude 3 Opus,87,231478,0
53,image_labeling/layered_squares,Claude 3 Opus,87,1170412,0
